time,wx (rad/s),wy (rad/s),wz (rad/s)
6.159,-0.00,-0.02,0.01
6.165,0.00,-0.03,0.01
6.165,0.00,-0.03,0.01
6.169,0.01,-0.03,0.01
6.169,0.01,-0.03,0.01
6.174,0.01,-0.04,0.01
6.175,0.01,-0.04,0.01
6.178,0.01,-0.04,0.02
6.179,0.00,-0.04,0.01
6.186,-0.01,-0.03,0.01
6.186,-0.01,-0.02,0.01
6.188,-0.02,-0.01,0.01
6.188,-0.02,0.00,0.01
6.193,-0.03,0.01,0.01
6.193,-0.03,0.01,0.01
6.198,-0.03,0.02,0.01
6.199,-0.03,0.02,0.01
6.204,-0.02,0.02,0.01
6.204,-0.02,0.01,0.00
6.208,-0.01,0.00,0.01
6.208,-0.00,0.00,0.01
6.213,0.00,-0.00,0.01
6.213,0.01,-0.01,0.01
6.219,0.01,-0.01,0.01
6.219,0.01,-0.01,0.01
6.224,0.02,-0.01,0.00
6.224,0.02,-0.01,0.01
6.227,0.01,-0.01,0.01
6.227,0.01,-0.00,0.01
6.232,0.00,-0.00,0.01
6.232,-0.00,0.00,0.01
6.238,-0.01,0.00,0.01
6.239,-0.02,0.01,0.00
6.244,-0.02,0.01,0.01
6.244,-0.03,0.01,0.01
6.247,-0.04,0.01,0.01
6.247,-0.04,0.01,0.01
6.253,-0.05,0.01,0.01
6.254,-0.05,0.00,0.01
6.258,-0.05,0.00,0.01
6.259,-0.05,0.00,0.01
6.262,-0.05,-0.00,0.01
6.262,-0.05,-0.00,0.01
6.267,-0.04,-0.00,0.01
6.267,-0.04,0.00,0.01
6.271,-0.04,-0.00,0.01
6.271,-0.03,0.00,0.01
6.276,-0.03,-0.00,0.01
6.277,-0.02,-0.01,0.01
6.281,-0.02,-0.01,0.01
6.281,-0.01,-0.01,0.01
6.286,-0.01,-0.01,0.00
6.287,-0.01,-0.01,0.00
6.292,-0.01,-0.01,0.00
6.292,-0.00,-0.01,0.00
6.297,-0.00,-0.01,-0.00
6.297,-0.00,-0.01,-0.00
6.301,-0.00,-0.00,-0.00
6.301,-0.00,-0.00,-0.01
6.305,-0.01,0.00,-0.00
6.306,-0.01,0.00,-0.00
6.311,-0.01,0.01,-0.00
6.311,-0.01,0.01,-0.00
6.316,-0.01,0.01,-0.00
6.316,-0.01,0.01,-0.00
6.320,-0.01,0.01,-0.00
6.320,-0.01,0.01,-0.00
6.326,-0.01,0.01,0.00
6.326,-0.00,0.01,0.00
6.330,-0.01,0.00,0.00
6.330,-0.01,0.00,0.00
6.336,-0.01,0.00,0.00
6.336,-0.01,0.00,-0.00
6.341,-0.01,0.00,0.00
6.341,-0.00,0.00,0.00
6.345,-0.00,-0.00,0.00
6.345,-0.01,0.00,0.00
6.349,-0.00,0.00,0.00
6.350,-0.01,0.00,0.00
6.354,-0.01,0.00,0.00
6.354,-0.00,0.00,0.00
6.359,-0.00,0.00,0.00
6.359,0.00,0.00,0.00
6.364,0.00,-0.00,-0.00
6.365,0.01,-0.00,0.00
6.370,0.01,-0.00,0.00
6.370,0.01,-0.01,0.00
6.374,0.01,-0.01,0.00
6.375,0.02,-0.01,-0.00
6.379,0.02,-0.01,-0.00
6.379,0.02,-0.01,-0.00
6.383,0.02,-0.01,-0.00
6.384,0.02,-0.01,-0.00
6.391,0.02,-0.01,-0.00
6.392,0.02,-0.01,0.00
6.394,0.02,-0.01,-0.00
6.394,0.01,-0.01,-0.00
6.398,0.01,-0.01,0.00
6.399,0.01,-0.01,0.00
6.404,0.01,-0.01,0.00
6.404,0.01,-0.02,0.00
6.408,0.01,-0.02,0.00
6.409,0.01,-0.02,0.00
6.413,0.00,-0.02,0.00
6.413,0.00,-0.02,0.00
6.420,0.01,-0.02,0.00
6.421,0.00,-0.02,0.00
6.422,0.00,-0.02,0.01
6.423,0.00,-0.02,0.00
6.427,0.00,-0.02,0.00
6.427,0.00,-0.02,0.01
6.433,0.00,-0.01,0.00
6.433,0.00,-0.01,0.00
6.437,0.00,-0.01,0.00
6.438,0.00,-0.01,0.00
6.443,0.00,-0.00,0.00
6.443,-0.00,-0.00,0.00
6.447,-0.00,-0.00,0.00
6.447,-0.00,-0.01,0.00
6.454,-0.00,-0.01,0.00
6.454,-0.00,-0.01,0.00
6.457,-0.01,-0.01,-0.00
6.458,-0.01,-0.02,-0.00
6.462,-0.01,-0.02,-0.00
6.463,-0.02,-0.01,0.00
6.466,-0.02,-0.01,-0.00
6.467,-0.02,-0.00,0.00
6.472,-0.03,0.00,0.00
6.472,-0.03,0.01,-0.00
6.476,-0.03,0.01,-0.00
6.480,-0.03,0.01,0.00
6.481,-0.03,0.02,0.00
6.482,-0.03,0.02,0.00
6.487,-0.03,0.02,0.00
6.487,-0.02,0.02,0.00
6.491,-0.02,0.02,0.00
6.491,-0.02,0.01,0.00
6.497,-0.01,0.01,0.00
6.498,-0.00,0.01,0.00
6.501,0.01,0.00,0.00
6.502,0.02,0.00,0.01
6.506,0.02,-0.01,0.00
6.506,0.03,-0.01,0.01
6.510,0.04,-0.01,0.00
6.510,0.04,-0.01,0.01
6.515,0.04,-0.01,0.01
6.515,0.04,-0.01,0.01
6.521,0.04,-0.01,0.00
6.522,0.03,-0.01,0.00
6.526,0.02,-0.00,0.00
